,VendorName,ModelName,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,PRP,ERP
0,adviser,32/60,125,256,6000,256,16,128,198,199
1,amdahl,470v/7,29,8000,32000,32,8,32,269,253
2,amdahl,470v/7a,29,8000,32000,32,8,32,220,253
3,amdahl,470v/7c,29,8000,16000,32,8,16,132,132
4,amdahl,470v/b,26,8000,32000,64,8,32,318,290
5,amdahl,580-5840,23,16000,32000,64,16,32,367,381
6,amdahl,580-5850,23,16000,32000,64,16,32,489,381
7,amdahl,580-5860,23,16000,64000,64,16,32,636,749
8,amdahl,580-5880,23,32000,64000,128,32,64,1144,1238
9,apollo,dn420,400,512,3500,4,1,6,40,24
10,basf,Jul-65,60,2000,8000,65,1,8,92,70
11,bti,5000,350,64,64,0,1,4,10,15
12,bti,8000,200,512,16000,0,4,32,35,64
13,burroughs,b1955,167,524,2000,8,4,15,19,23
14,burroughs,b4955,110,5000,5000,142,8,64,120,124
15,burroughs,b5900,143,1500,6300,0,5,32,30,35
16,burroughs,b5920,143,3100,6200,0,5,20,33,39
17,burroughs,b6900,143,2300,6200,0,6,64,61,40
18,burroughs,b6925,110,3100,6200,0,6,64,76,45
19,c.r.d,68/10-80,320,128,6000,0,1,12,23,28
20,c.r.d,universe:2203t,320,512,2000,4,1,3,69,21
21,c.r.d,universe:68,320,256,6000,0,1,6,33,28
22,c.r.d,universe:68/05,320,256,3000,4,1,3,27,22
23,c.r.d,universe:68/137,320,512,5000,4,1,5,77,28
24,c.r.d,universe:68/37,320,256,5000,4,1,6,27,27
25,cdc,cyber:170/750,25,1310,2620,131,12,24,274,102
26,cdc,cyber:170/760,25,1310,2620,131,12,24,368,102
27,cdc,cyber:170/815,50,2620,10480,30,12,24,32,74
28,cdc,cyber:170/835,56,5240,20970,30,12,24,106,138
29,cdc,cyber:170/845,64,5240,20970,30,12,24,208,136
30,cdc,omega:480-i,50,500,2000,8,1,4,20,23
31,cdc,omega:480-ii,50,1000,4000,8,1,5,29,29
32,cdc,omega:480-iii,50,2000,8000,8,1,5,71,44
33,cambex,1636-1,50,1000,4000,8,3,5,26,30
34,cambex,1636-10,50,1000,8000,8,3,5,36,41
35,cambex,1641-1,50,2000,16000,8,3,5,40,74
36,cambex,1641-11,50,2000,16000,8,3,6,52,74
37,dec,decsys:20:2060,133,1000,8000,9,3,12,72,41
38,dec,microvax-1,810,512,512,8,1,1,18,18
39,dec,vax:11/730,810,1000,5000,0,1,1,20,28
40,dec,vax:11/750,320,512,8000,4,1,5,40,36
41,dec,vax:11/780,200,512,8000,8,1,8,62,38
42,dg,eclipse:c/350,700,384,8000,0,1,1,24,34
43,dg,eclipse:mv/6000,110,1000,4000,16,1,2,26,30
44,dg,eclipse:mv/8000,110,1000,12000,16,1,2,60,56
45,dg,eclipse:mv/8000-ii,220,1000,8000,16,1,2,71,42
46,formation,f4000/100,800,256,8000,0,1,4,12,34
47,formation,f4000/200,800,256,8000,0,1,4,14,34
